"year","source","item","value","Reference"
2016,"Current study","Input_MtPperYr",25.3108597064,"FAO (2022) Cropland Nutrient Budget (current study)"
2016,"Current study","Output_MtPperYr",19.6511746075,"FAO (2022) Cropland Nutrient Budget (current study)"
2016,"Current study","Surplus_MtPperYr",5.6596850988,"FAO (2022) Cropland Nutrient Budget (current study)"
2016,"Current study","PUE_pc",77.6393,"FAO (2022) Cropland Nutrient Budget (current study)"
1999,"Current study","Input_MtPperYr",19.7740572001,"FAO (2022) Cropland Nutrient Budget (current study)"
1999,"Current study","Output_MtPperYr",13.1142059183,"FAO (2022) Cropland Nutrient Budget (current study)"
1999,"Current study","Surplus_MtPperYr",6.6598512818,"FAO (2022) Cropland Nutrient Budget (current study)"
1999,"Current study","PUE_pc",66.3203,"FAO (2022) Cropland Nutrient Budget (current study)"
2017,"Current study","Input_MtPperYr",26.0254023294,"FAO (2022) Cropland Nutrient Budget (current study)"
2017,"Current study","Output_MtPperYr",20.3119570758,"FAO (2022) Cropland Nutrient Budget (current study)"
2017,"Current study","Surplus_MtPperYr",5.7134452536,"FAO (2022) Cropland Nutrient Budget (current study)"
2017,"Current study","PUE_pc",78.0467,"FAO (2022) Cropland Nutrient Budget (current study)"
2008,"Current study","Input_MtPperYr",20.5447927839,"FAO (2022) Cropland Nutrient Budget (current study)"
2008,"Current study","Output_MtPperYr",16.4358883894,"FAO (2022) Cropland Nutrient Budget (current study)"
2008,"Current study","Surplus_MtPperYr",4.1089043945,"FAO (2022) Cropland Nutrient Budget (current study)"
2008,"Current study","PUE_pc",80.0003,"FAO (2022) Cropland Nutrient Budget (current study)"
2000,"Current study","Input_MtPperYr",19.5414901065,"FAO (2022) Cropland Nutrient Budget (current study)"
2000,"Current study","Output_MtPperYr",13.1619132532,"FAO (2022) Cropland Nutrient Budget (current study)"
2000,"Current study","Surplus_MtPperYr",6.3795768532,"FAO (2022) Cropland Nutrient Budget (current study)"
2000,"Current study","PUE_pc",67.3537,"FAO (2022) Cropland Nutrient Budget (current study)"
2002,"Current study","Input_MtPperYr",20.1575007249,"FAO (2022) Cropland Nutrient Budget (current study)"
2002,"Current study","Output_MtPperYr",13.4277555151,"FAO (2022) Cropland Nutrient Budget (current study)"
2002,"Current study","Surplus_MtPperYr",6.7297452097,"FAO (2022) Cropland Nutrient Budget (current study)"
2002,"Current study","PUE_pc",66.6142,"FAO (2022) Cropland Nutrient Budget (current study)"
2018,"Current study","Input_MtPperYr",25.7022513698,"FAO (2022) Cropland Nutrient Budget (current study)"
2018,"Current study","Output_MtPperYr",20.0697422305,"FAO (2022) Cropland Nutrient Budget (current study)"
2018,"Current study","Surplus_MtPperYr",5.6325091393,"FAO (2022) Cropland Nutrient Budget (current study)"
2018,"Current study","PUE_pc",78.0855,"FAO (2022) Cropland Nutrient Budget (current study)"
2009,"Current study","Input_MtPperYr",22.5928441296,"FAO (2022) Cropland Nutrient Budget (current study)"
2009,"Current study","Output_MtPperYr",16.2637146092,"FAO (2022) Cropland Nutrient Budget (current study)"
2009,"Current study","Surplus_MtPperYr",6.3291295205,"FAO (2022) Cropland Nutrient Budget (current study)"
2009,"Current study","PUE_pc",71.9861,"FAO (2022) Cropland Nutrient Budget (current study)"
2011,"Current study","Input_MtPperYr",24.7614361046,"FAO (2022) Cropland Nutrient Budget (current study)"
2011,"Current study","Output_MtPperYr",17.5606839199,"FAO (2022) Cropland Nutrient Budget (current study)"
2011,"Current study","Surplus_MtPperYr",7.2007521847,"FAO (2022) Cropland Nutrient Budget (current study)"
2011,"Current study","PUE_pc",70.9195,"FAO (2022) Cropland Nutrient Budget (current study)"
2001,"Current study","Input_MtPperYr",19.7227150729,"FAO (2022) Cropland Nutrient Budget (current study)"
2001,"Current study","Output_MtPperYr",13.5344060267,"FAO (2022) Cropland Nutrient Budget (current study)"
